word/phrase,type,raw_frequency,count,topic,POS,syllables,readability_score,level,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,Core Inventory,EGP,GSELO,log_freq,frequency_score
a,word,0.023875820131220995,2984,function_words,"det article,determiner",1,10.0,A1,DT.a.an,INDEFINITE ARTICLES,,A1.1,A1-B2,A1,A1,-1.6220416997117864,9
maximum,word,1.6002560409665546e-05,2,general,"propn adjective, noun,adjective",3,0.0,B2,,,,,,,,-4.795807810769671,2
of,word,0.011041766682669226,1380,function_words,adp preposition,1,10.0,A1,,,,,,,,-1.9569614299969555,8
in,word,0.013650184029444712,1706,function_words,"adp preposition, adverb,adverb",1,10.0,A1,,,,,,,,-1.8648614903182836,9
so,word,0.002360377660425668,295,function_words,"adv adverb, conjunction,adverb",1,10.0,A1,,,,,,,,-2.6270184859538626,7
book,word,0.0003920627300368059,49,"free time, entertainment,objects and rooms,school",verb noun,1,10.0,A1,,,,,,,,-3.4066443295312077,5
now,word,0.002208353336533845,276,general,adv adverb,1,10.0,A1,,,,,,,,-2.655931418600185,7
poster,word,2.400384061449832e-05,3,"free time, entertainment,general,things in the town, shops and shopping",noun,2,3.66,A2,,,,,,,,-4.619717456344684,2
final,word,4.800768122899664e-05,6,general,adj adjective,2,3.66,A1,,,,,,,,-4.318688365313283,3
exam,word,0.00010401664266282605,13,education,noun,2,3.66,A1,,,,,,,,-3.98289675050072,4
instructions,word,2.400384061449832e-05,3,general,noun,3,0.0,UNKNOWN,,,,,,,,-4.619717456344684,2
doors,word,0.00020003200512081932,25,general,noun,1,10.0,UNKNOWN,,,,,,,,-3.6989002945469087,4
close,word,0.0002080332853256521,26,general,"adj verb,adjective",1,10.0,A1,,,,,,,,-3.6818669635986048,4
minutes,word,0.00043206913106096973,54,general,noun,2,3.66,UNKNOWN,,,,,,,,-3.3644466599933875,5
before,word,0.0005280844935189631,66,general,"adp preposition,adverb",2,3.66,A1,,,,,,,,-3.2772965025499463,5
begins,word,8.80140822531605e-05,11,general,verb,2,3.66,UNKNOWN,,,,,,,,-4.055447341735951,3
show,word,0.000352056329012642,44,"free time, entertainment,general","verb verb, noun,noun",1,10.0,A1,,,,,,,,-3.4533877204858463,5
your,word,0.0028564570331253,357,pronouns,pron determiner,1,10.0,A1,,,,,,,,-2.5441722890152403,7
student,word,0.0002080332853256521,26,education,noun,2,3.66,A1,,,,,,,,-3.6818669635986048,4
id,word,0.00011201792286765882,14,general,unknown noun,1,10.0,B2,,,,,,,,-3.9507120969524365,4
card,word,0.0004480716914706353,56,"general,objects and rooms,shopping",noun,1,10.0,A1,,,,,,,,-3.3486523963999777,5
examiner,word,8.001280204832773e-06,1,general,noun,4,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
you,word,0.01176988318130901,1471,pronouns,pron pronoun,1,10.0,A1,,,,,,,,-1.92922784391398,8
enter,word,8.80140822531605e-05,11,general,verb,2,3.66,A2,,,,,,,,-4.055447341735951,3
no,word,0.0024643943030884944,308,function_words,"det exclamation, determiner,adverb",1,10.0,A1,DT.no,DETERMINER: no,,A1.2,,A2,A2,-2.6082897862081778,7
phones,word,7.201152184349496e-05,9,general,noun,1,10.0,UNKNOWN,,,,,,,,-4.142597407802213,3
books,word,0.000424067850856137,53,general,noun,1,10.0,UNKNOWN,,,,,,,,-3.3725645483190574,5
have,word,0.005792926868298928,724,function_words,verb have-verb,1,10.0,A1,CAUS.have.let.make,HAVE/LET/MAKE+NP+INFINITIVE,,A2.1,,"B1, C2",,-2.237101946637264,8
ready,word,0.000248039686349816,31,general,adj adjective,2,3.66,A1,,,,,,,,-3.6054786514064285,4
listen,word,0.00048807809249479917,61,actions,verb,2,3.66,A1,,,,,,,,-3.3115105963400997,5
arrive,word,0.00011201792286765882,14,general,verb,2,3.66,A1,,,,,,,,-3.9507120969524365,4
mobile,word,8.001280204832773e-05,10,general,"adj adjective, noun,adjective",2,3.66,A2,,,,,,,,-4.096839977550485,3
switched,word,8.001280204832773e-06,1,general,verb,1,10.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
off,word,0.000424067850856137,53,general,"adp adverb, preposition,adjective",1,10.0,A1,,,,,,,,-3.3725645483190574,5
put,word,0.0011201792286765883,140,general,verb,1,10.0,A1,,,,,,,,-2.9507124458830645,6
away,word,0.0009601536245799327,120,general,adv adverb,2,3.66,A1,,,,,,,,-3.0176592290519966,6
visible,word,8.001280204832773e-06,1,general,adj adjective,3,0.0,B2,,,,,,,,-5.0968350925528725,1
on,word,0.007425188030084813,928,function_words,"adp preposition, adverb,adverb",1,10.0,A1,,,,,,,,-2.129292538263592,8
desk,word,0.00012802048327732437,16,"house and home, environment,objects and rooms,school",noun,1,10.0,A1,,,,,,,,-3.89272019843732,4
talking,word,0.00034405504880780926,43,general,verb,2,3.66,UNKNOWN,,,,,,,,-3.463371938523625,5
food,word,0.0010321651464234277,129,"food and drink,general",noun,1,10.0,A1,,,,,,,,-2.986250767956077,6
or,word,0.0020963354136661868,262,function_words,cconj conjunction,1,10.0,A1,,,,,,,,-2.678539208294803,7
drinks,word,0.0002960473675788126,37,general,verb,1,10.0,UNKNOWN,,,,,,,,-3.528638649566786,5
follow,word,0.00011201792286765882,14,general,verb,2,3.66,A1,,,,,,,,-3.9507120969524365,4
examiners,word,8.001280204832773e-06,1,general,noun,4,0.0,UNKNOWN,,,,,,,,-5.0968350925528725,1
if,word,0.0014242278764602337,178,function_words,sconj conjunction,1,10.0,A1,CL.if,ADVERBIAL CLAUSE: if,,A2.1,A2,"A2, C1",,-2.8464204875291683,6
question,word,0.00024003840614498319,30,"general,language",noun,2,3.66,A1,,,,,,,,-3.6197190846846836,4
raise,word,8.001280204832773e-06,1,general,verb,1,10.0,A2,,,,,,,,-5.0968350925528725,1
hand,word,0.0008401344215074412,105,"general,health and body care",noun,1,10.0,A1,,,,,,,,-3.075651169568003,6
bags,word,0.000248039686349816,31,general,noun,1,10.0,UNKNOWN,,,,,,,,-3.6054786514064285,4
please,word,0.0010561689870379261,132,general,"intj exclamation,adverb",1,10.0,A1,,,,,,,,-2.9762665480057504,6
use,word,0.000496079372699632,62,general,verb noun,1,10.0,A1,,,,,,,,-3.3044487432877827,5
blue,word,0.0004160665706513042,52,colors,"adj adjective, noun,adjective",1,10.0,A1,,,,,,,,-3.3808370723155945,5
black,word,0.000352056329012642,44,colors,"adj adjective, noun,adjective",1,10.0,A1,,,,,,,,-3.4533877204858463,5
pen,word,3.200512081933109e-05,4,"objects and rooms,school,shopping",noun,1,10.0,A1,,,,,,,,-4.494779172052438,2
tonys,word,6.401024163866218e-05,8,general,noun,2,3.66,UNKNOWN,,,,,,,,-4.193749854863421,3
kitchen,word,0.0003920627300368059,49,"home,house and home, environment,objects and rooms",noun,2,3.66,A1,,,,,,,,-3.4066443295312077,5
reviews,word,8.80140822531605e-05,11,general,verb,2,3.66,UNKNOWN,,,,,,,,-4.055447341735951,3
chicken,word,0.00020003200512081932,25,"animals,food and drink",noun,2,3.66,A1,,,,,,,,-3.6989002945469087,4
pizzas,word,8.001280204832773e-06,1,general,noun,2,3.66,UNKNOWN,,,,,,,,-5.0968350925528725,1
